time,open,high,low,close,Volume,Volume MA
2016-01-11T00:00:00Z,448.2,451.13,352,380.16,100170.19957908,138565.90651607155
2016-01-18T00:00:00Z,379.94,422.98,372.53,402.16,76684.60157332,135032.53659473755
2016-01-25T00:00:00Z,402.16,402.31,363.73,368.49,50604.93544585,130491.28336703005
2016-02-01T00:00:00Z,368.49,391.88,365,375,49519.03779802,127439.48525693105
2016-02-08T00:00:00Z,375,406.71,369.12,405,53282.38643921001,123801.21614982453
2016-02-15T00:00:00Z,405.5,447.99,393.4,438.5,63646.25819915,120556.58630830355
2016-02-22T00:00:00Z,438.33,440,409.07,431.68,41502.532644570005,115866.35726825055
2016-02-29T00:00:00Z,430.26,440.99,382,406.23,58580.72208624,111010.30225448655
2016-03-07T00:00:00Z,406.15,421.91,403.03,413.04,35522.59984296001,104366.30556832506
2016-03-14T00:00:00Z,412.99,419,403.34,411.28,28681.414286969997,95739.75720640805
2016-03-21T00:00:00Z,410.62,419,406.5,416.64,19082.60903897,77231.64753733356
2016-03-28T00:00:00Z,424.62,424.77,407.22,419.11,24971.101934650003,66379.40490547955
2016-04-04T00:00:00Z,418.51,423.99,412,418.36,21245.404431799998,60710.20904124705
2016-04-11T00:00:00Z,420.4,432.87,377.87,427.42,22354.826266379998,57359.93460076605
2016-04-18T00:00:00Z,427.15,470.02,378.98,460.02,34850.340012,54126.82466672205
2016-04-25T00:00:00Z,460.03,469.87,393.15,453,27251.8978701,49167.83161698605
2016-05-02T00:00:00Z,452.99,463.97,438.59,458.21,26993.04077955,45510.22603454105
2016-05-09T00:00:00Z,457.75,464.79,447.38,457.56,21889.615960619998,42562.98076257505
2016-05-16T00:00:00Z,457.56,458,435,438.8,22944.61523209,41528.89744298105
2016-05-23T00:00:00Z,438.72,540,436.4,517.84,46135.44144764,41295.67904345855
2016-05-30T00:00:00Z,517.6,588.71,510.01,573.91,47957.46871421999,38685.042500215546
2016-06-06T00:00:00Z,573.8,683.02,563,672.13,39798.13796659,36840.71931987905
2016-06-13T00:00:00Z,668.73,778.85,655,761.44,74852.81699908999,38053.11339754105
2016-06-20T00:00:00Z,759.12,763.99,540.17,657.79,104143.95399672001,40784.359207476045
2016-06-27T00:00:00Z,630.16,704.99,618.03,658.27,49986.596942410004,40619.569732636046
2016-07-04T00:00:00Z,659.77,682.36,605.5,648.76,38661.74847759001,39370.344246558045
2016-07-11T00:00:00Z,648.77,684.19,639.31,679.54,24577.206635340004,38524.07794609655
2016-07-18T00:00:00Z,679.54,682.21,645,661.47,18737.11457925,36531.89757074705
2016-07-25T00:00:00Z,659.64,661.99,614.97,623.83,17468.276322790003,35629.181394738545
2016-08-01T00:00:00Z,622.5,630,465.28,592.47,65343.91798719,37462.306579749544
2016-08-08T00:00:00Z,592.47,603,556.24,568.76,22051.038136410003,37610.72803462155
2016-08-15T00:00:00Z,568.76,583.99,552.3,577.55,25677.599972650005,37646.05293652155
2016-08-22T00:00:00Z,577.55,585.95,564.81,573.2,23525.50450765,37760.05794031405
2016-08-29T00:00:00Z,573.2,609.05,566.86,603.72,25116.719176950002,37898.15258584255
2016-09-05T00:00:00Z,605.72,628.99,592.46,606.32,26822.909902079995,37496.781080346555
2016-09-12T00:00:00Z,604.08,610.69,601.1,608,18000.02840779,37034.187607231055
2016-09-19T00:00:00Z,608,609.5,592.1,598.98,17473.75618523,36558.22337751505
2016-09-26T00:00:00Z,598.95,614.28,596.1,608.6,17480.03541049,36337.74435000856
2016-10-03T00:00:00Z,608.6,616.99,604.99,613.06,15682.327319739998,35974.62995439106
2016-10-10T00:00:00Z,612.12,642,612.12,638.97,21232.50503502,34729.483133760055
2016-10-17T00:00:00Z,638.97,656,624.13,648.74,23129.99591567,33488.109493832555
2016-10-24T00:00:00Z,648.71,717.99,640,697.23,33380.1284258,33167.20901679305
2016-10-31T00:00:00Z,697.1,745.19,670.32,709.93,37188.976206989995,31284.01697718805
2016-11-07T00:00:00Z,709.92,740.86,683.23,700.38,35418.39312969,27847.738933836546
2016-11-14T00:00:00Z,700.38,755.07,697.14,727.09,43254.63053263,27511.140613347547
2016-11-21T00:00:00Z,727.09,750,722.3,727.32,26673.41090692,26911.723734814044
2016-11-28T00:00:00Z,727.32,778.07,721,762,36581.17352873,27511.92207948355
2016-12-05T00:00:00Z,762,774.12,743,768.97,28520.87983248,28001.110342145046
2016-12-12T00:00:00Z,768.97,793.27,765.1,788.67,21477.81845389,28201.58744870005
2016-12-19T00:00:00Z,788.34,920,787.01,890.67,56709.60192418,27769.871645549552
2016-12-26T00:00:00Z,890.65,1005,888,997.75,52597.39938603999,29297.189708031052
2017-01-02T00:00:00Z,997.75,1139.89,812.28,909.75,130728.25835106998,34549.72262695205
2017-01-09T00:00:00Z,909.8,918.4,751.34,821.86,92826.21566664001,38014.75818490154
2017-01-16T00:00:00Z,821.86,937.74,818.09,923.76,60386.56034769,39778.25024343854
2017-01-23T00:00:00Z,923.75,927.57,881.48,912.01,30759.392631869996,39975.074379928046
2017-01-30T00:00:00Z,913.12,1044.23,910,1011.07,48914.77048103,41520.81148359004
2017-02-06T00:00:00Z,1010.03,1074.69,913.73,1000.73,63161.775280949994,43805.212438376046
2017-02-13T00:00:00Z,1000.73,1068.99,975.1,1051.8,33282.25374074,44595.32335488855
2017-02-20T00:00:00Z,1051.8,1220,1044.39,1179.05,64898.335354860006,47056.12375664455
2017-02-27T00:00:00Z,1180.46,1298,1169,1273,41646.795282720006,48076.838269029555
2017-03-06T00:00:00Z,1269.98,1350,975,1226.62,86539.53241125001,51247.31509380856
2017-03-13T00:00:00Z,1226.42,1260,944.36,1017.97,78732.98939892,53514.95814246456
2017-03-20T00:00:00Z,1012.88,1117.9,891.33,960,77470.53548879,55529.03610655456
2017-03-27T00:00:00Z,959.08,1100,952.95,1078.01,60680.03660101,56792.11828012056
2017-04-03T00:00:00Z,1076.59,1216.87,1076.19,1206.2,46207.077425539996,56939.740624766055
2017-04-10T00:00:00Z,1205.2,1229,1141,1162.31,31268.611520799997,57169.500655460055
2017-04-17T00:00:00Z,1162.31,1252.32,1161,1241.99,32950.746636740005,56987.97931086055
2017-04-24T00:00:00Z,1242,1356,1234,1350.21,39411.95591813001,57532.53311514305
2017-05-01T00:00:00Z,1348.88,1623.01,1341.22,1554.01,79409.84428198,60429.13440654755
