time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Volume MA
1610582400,37393.49,40112.78,36717.23,39134.35,37549.77799999998,17868.094453124988,25474.803200000002,32949.22333333336,15244.621949999986,10923.5047334,15523.734764085073
1610668800,39147.98,39694,34380,36756.57,37821.529999999984,18075.311406249988,25866.7328,33523.100476190506,15382.460399999989,13499.11727006,15824.117535275072
1610755200,36778.66,37944.12,35350,36000,37736.53599999998,18275.75992187499,26243.645000000004,33977.08714285717,15516.795599999987,7688.58269814,15546.829963735072
1610841600,36013.51,36839,33833.55,35819.25,37367.41199999998,18474.40218749999,26605.194200000005,34432.3085714286,15649.724949999987,6821.71255949,15488.526711180073
1610928000,35826.36,37449.86,34777.85,36616.95,36962.39999999998,18678.88359374999,26973.692600000002,34888.45333333335,15787.345099999988,6251.2145414,15322.223523663075
1611014400,36665.82,37874.71,35888,35917.62,36530.25599999998,18878.749531249992,27298.0412,35295.48285714288,15921.617799999985,6578.85825052,15064.079767129075
1611100800,35888.13,36440.1,33400,35496.91,36262.57399999998,19072.66953124999,27632.5508,35610.51190476193,16053.409749999986,12160.46753333,15198.219312889076
1611187200,35516.17,35620.96,30044.16,30818.18,35798.83399999999,19229.18789062499,27864.3834,35697.43523809526,16162.116549999988,21214.6412581,15819.878098066076
1611273600,30817.86,33864.85,28800,32992.06,35694.537999999986,19401.37945312499,28135.2566,35868.36000000002,16280.335749999987,17019.5834508,15777.463325681074
1611360000,32989.1,33468.46,31426.11,32117.49,35166.93799999998,19566.82492187499,28404.1312,35863.64380952383,16394.63739999999,5255.74586786,15332.221555069074
1611446400,32098.38,33075.75,30960.77,32288.83,34482.385999999984,19733.68140624999,28666.6646,35825.120000000024,16508.89574999999,4658.70962563,14442.810036076573
1611532800,32289.06,34888,31939.12,32261.22,34032.85099999998,19899.18140624999,28924.277400000003,35837.27904761907,16624.02734999999,10038.75547087,14204.422984260575
1611619200,32264.15,32953.28,30847.4,32504.53,33683.30399999998,20067.783203124993,29190.898,35764.206666666694,16740.132349999985,11554.91101117,13821.204140333075
